Team,Wins
UCLA,3.62
Purdue,4.3
Houston,4.38
Connecticut,4.81
Gonzaga,5.11
Duke,5.21
Arizona,5.28
Virginia,5.8
Kansas,5.84
Alabama,5.93
Tennessee,6.04
Memphis,6.17
Texas,6.85
Kansas St,6.98
Marquette,7.04
San Diego St,7.4
Maryland,7.42
West Virginia,7.5
St Mary's CA,7.52
Providence,7.54
Baylor,7.65
Illinois,7.79
Iowa St,7.83
Texas A&M,7.87
TCU,7.88
FL Atlantic,7.95
Mississippi St,8.19
Col Charleston,8.22
Kentucky,8.41
Auburn,8.45
Miami FL,8.64
Iona,8.75
Xavier,8.78
VCU,8.78
Iowa,8.88
Northwestern,8.88
Michigan St,8.88
Penn St,8.93
Missouri,9.52
USC,9.54
Indiana,9.65
Arkansas,10.1
Lafayette,10.12
Creighton,10.37
Pittsburgh,10.56
Drake,10.7
Nevada,10.76
Oral Roberts,10.86
NC State,10.97
Arizona St,11.13
Utah St,11.15
Kent,11.24
Boise St,11.27
Colgate,11.51
Vermont,12.3
Furman,12.7
UC Santa Barbara,13.13
Princeton,13.86
Montana St,14.39
N Kentucky,14.59
UNC Asheville,14.62
Grand Canyon,14.9
Kennesaw,15.0
SE Missouri St,15.14
TAM C. Christi,15.56
TX Southern,15.58
F Dickinson,15.63
Howard,15.73
