Team,Wins
Houston,2.37
Arizona,4.25
Purdue,4.41
Kansas,4.51
Duke,4.51
Illinois,5.02
Gonzaga,5.08
UCLA,5.27
Texas,5.46
Iowa,5.93
Arkansas,5.96
Kentucky,6.03
Baylor,6.04
Tennessee,6.07
St Mary's CA,6.09
Villanova,6.16
Murray St,6.42
Michigan,6.65
Texas Tech,6.7
Memphis,6.79
San Diego St,6.8
Auburn,6.88
Connecticut,6.91
Virginia Tech,7.15
LSU,7.29
Vermont,7.37
Colorado St,7.44
Seton Hall,7.54
Providence,7.7
UAB,7.71
Boise St,8.04
San Francisco,8.11
USC,8.26
TCU,8.48
Davidson,8.61
Loyola-Chicago,8.83
S Dakota St,8.95
Ohio St,9.01
North Carolina,9.14
Wisconsin,9.18
Iowa St,9.28
Chattanooga,9.44
Indiana,9.58
Michigan St,9.66
Creighton,9.79
Notre Dame,10.18
Rutgers,10.38
Miami FL,10.39
Alabama,10.56
Colgate,10.59
Richmond,10.91
Marquette,10.97
Georgia St,12.0
New Mexico St,12.98
Wyoming,13.16
Jacksonville St,13.31
St Peter's,13.44
Akron,14.05
Montana St,14.08
Wright St,14.32
Delaware,14.33
Longwood,14.54
Bryant,14.57
CS Fullerton,14.69
Yale,14.91
Norfolk St,15.17
TX Southern,15.28
TAM C. Christi,15.41
